,OBJECTID,YEAR_,STATE,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
0,146.424041741785,44.94441010848846,2,1.4142135623730951,11.0,1.0,1.0,1.000000559909305,1.6091052825499905,1.0002060924739267,1.0000039758785486
1,146.42745644174798,44.94441010848846,2,1.4142135623730951,2.0,1.0,1.0,1.000000778469447,1.6091052825499905,1.0002340485388188,1.0000044943917081
2,146.4308710620817,44.94441010848846,2,1.4142135623730951,14.0,1.0,1.0,1.000000394213788,1.6091052825499905,1.00018486037095,1.000003652002882
3,146.43428560279182,44.94441010848846,2,1.4142135623730951,9.0,1.0,1.0,1.000000305136496,1.6091052825499905,1.000173507055863,1.0000036313871496
4,146.43770006388382,44.94441010848846,2,1.4142135623730951,18.0,1.0,1.0,1.0000002781978292,1.6091052825499905,1.000170284368143,1.000003434411102
5,146.44111444536333,44.94441010848846,2,1.4142135623730951,14.0,1.0,1.0,1.0000004294908185,1.6091052825499905,1.0001893289937283,1.0000038196757983
6,146.4445287472359,44.94441010848846,2,2.23606797749979,14.0,1.0,1.0,1.000000707150649,1.6091052825499905,1.0002250468611964,1.0000043823717204
7,146.4479429695071,44.94441010848846,2,1.4142135623730951,9.0,1.0,1.0,1.0000002757018245,1.6091052825499905,1.000169812628149,1.0000034630926127
8,146.45135711218248,44.94441010848846,2,1.4142135623730951,5.0,1.0,1.0,1.0000004202834403,1.6091052825499905,1.000188436668109,1.0000037264248267
9,146.4547711752676,44.94441010848846,2,1.4142135623730951,7.0,3.0,1.0,1.0000008555758702,1.6091052825499905,1.0002441556261823,1.000004592170914
10,146.4581851587681,44.94441010848846,2,1.4142135623730951,8.0,1.0,1.0,1.0000006283828788,1.6091052825499905,1.00021479749474,1.0000042707452232
11,146.46159906268946,44.94441010848846,2,1.4142135623730951,8.0,1.0,1.0,1.000000371869449,1.6091052825499905,1.0001819566529841,1.0000035451893408
12,146.4650128870373,44.94441010848846,2,1.4142135623730951,5.0,1.0,1.0,1.0000004784211924,1.6091052825499905,1.0001957843838416,1.0000038400256304
13,146.46842663181715,44.94441010848846,2,1.4142135623730951,1.0,3.0,1.0,1.0000007818906944,1.6091052825499905,1.0002346776992879,1.0000045923163807
14,146.47184029703456,44.94441010848846,2,2.23606797749979,11.0,1.0,1.0,1.0000007484076445,1.6091052825499905,1.0002303335217841,1.0000043976568807
15,146.47525388269514,44.94441010848846,2,1.4142135623730951,11.0,1.0,1.0,1.000000311971994,1.6091052825499905,1.0001743924427993,1.0000035589986558
16,146.47866738880444,44.94441010848846,2,1.4142135623730951,14.0,1.0,1.0,1.000000552886071,1.6091052825499905,1.0002054661615152,1.0000041286595571
17,146.48549416239138,44.94441010848846,2,1.4142135623730951,1.0,1.0,1.0,1.0000008142269743,1.6091052825499905,1.0002389401934828,1.0000046338999007
18,146.48890742988016,44.94441010848846,2,1.4142135623730951,1.0,1.0,1.0,1.0000006629656113,1.6091052825499905,1.0002196334724376,1.000004223300901
19,146.4923206178399,44.94441010848846,2,1.4142135623730951,14.0,1.0,1.0,1.0000003083022129,1.6091052825499905,1.0001740891684041,1.0000035322737035
20,146.49573372627614,44.94441010848846,2,1.4142135623730951,7.0,7.0,1.0,1.000000358354324,1.6091052825499905,1.0001794970478275,1.0000035474648696
21,146.49914675519446,44.94441010848846,2,1.4142135623730951,1.0,7.0,1.0,1.0000013552338172,1.6091052825499905,1.0003072010374026,1.000005936269967
22,146.50255970460037,44.94441010848846,2,1.4142135623730951,9.0,7.0,1.0,1.0000008397629743,1.6091052825499905,1.0002421803048551,1.0000046769746627
23,146.5059725744995,44.94441010848846,2,1.4142135623730951,10.0,7.0,1.0,1.0000008018647268,1.6091052825499905,1.0002374679321104,1.0000045103666704
24,146.50938536489735,44.94441010848846,2,1.4142135623730951,1.0,4.0,1.0,1.0000004976415258,1.6091052825499905,1.0001982875810103,1.000003751570268
25,146.5127980757995,44.94441010848846,2,1.4142135623730951,2.0,1.0,1.0,1.0000005977067992,1.6091052825499905,1.0002109375141284,1.0000041217601146
26,146.5162107072115,44.94441010848846,2,1.4142135623730951,4.0,2.0,1.0,1.0000006041625444,1.6091052825499905,1.0002121659423147,1.0000040713285505
27,146.5196232591389,44.94441010848846,2,1.4142135623730951,5.0,1.0,1.0,1.000000280007303,1.6091052825499905,1.0001709851085683,1.0000034955373618
28,146.52303573158727,44.94441010848846,2,1.4142135623730951,2.0,1.0,1.0,1.0000005506369258,1.6091052825499905,1.0002056267264965,1.0000039246340673
29,146.52644812456214,44.94441010848846,2,1.4142135623730951,14.0,1.0,1.0,1.0000006014330833,1.6091052825499905,1.0002117809630944,1.0000041893959455
30,146.52986043806908,44.94441010848846,2,1.4142135623730951,18.0,2.0,1.0,1.0000006199990317,1.6091052825499905,1.0002144176392866,1.0000044239625816
31,146.5332726721136,44.94441010848846,2,1.4142135623730951,1.0,1.0,1.0,1.000000670869228,1.6091052825499905,1.000220559307687,1.0000043392102211
32,146.53668482670133,44.94441010848846,2,1.4142135623730951,1.0,1.0,1.0,1.0000007860310507,1.6091052825499905,1.0002353399581807,1.0000044794211187
33,146.54009690183776,44.94441010848846,2,1.4142135623730951,5.0,1.0,1.0,1.0000003902455437,1.6091052825499905,1.0001848831349665,1.0000037647144968
34,146.54350889752845,44.94441010848846,2,1.4142135623730951,5.0,1.0,1.0,1.0000002866521003,1.6091052825499905,1.0001717862694506,1.0000035807962793
