,OBJECTID,YEAR_,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
6031,14.130542502656928,2.5871310100207188,3.0,10.0,1.0,1.0,0.9999701000954062,1.2681107593694065,1.0032897066220132,1.0000093289601601
6032,14.130631107899069,2.5871310100207188,3.0,3.0,5.0,1.0,1.0000551645467197,1.2681107593694065,1.0060234945619528,1.0000150564203498
6033,14.130719711474459,2.5871310100207188,3.0,14.0,1.0,1.0,1.0000613200791733,1.2681107593694065,1.0062231398498382,1.0000157778411547
6034,14.130808313383172,2.5871310100207188,3.0,2.0,1.0,1.0,0.9999752706781139,1.2681107593694065,1.003455048500312,1.0000091527582842
6035,14.130896913625282,2.5871310100207188,3.0,9.0,1.0,1.0,0.999978862490349,1.2681107593694065,1.0035705885762982,1.0000093776420813
6036,14.130985512200862,2.5871310100207188,3.0,9.0,1.0,1.0,1.0000000396822435,1.2681107593694065,1.0042512516661621,1.0000107012133455
6037,14.131074109109985,2.5871310100207188,3.0,1.0,1.0,1.0442737824274138,1.000039545806729,1.2681107593694065,1.005568200431393,1.0000147828167907
6038,14.131162704352725,2.5871310100207188,3.0,1.0,1.0,1.0442737824274138,1.0000850530468255,1.2681107593694065,1.007032041786829,1.000016733201168
6039,14.131251297929154,2.5871310100207188,3.0,1.0,1.0,1.0442737824274138,1.0000885659930834,1.2681107593694065,1.0071467294493046,1.000016484777984
6040,14.131339889839346,2.5871310100207188,3.0,1.0,1.0,1.0,1.0000665956409271,1.2681107593694065,1.006438988873306,1.0000157195622847
6041,14.131428480083372,2.5871310100207188,3.0,1.0,1.0,1.0442737824274138,1.0000482597347082,1.2681107593694065,1.005844609314032,1.0000146441473123
6042,14.131517068661307,2.5871310100207188,3.0,1.0,2.0,1.0442737824274138,1.0000835843366402,1.2681107593694065,1.006984534263933,1.000016262984741
6043,14.131605655573223,2.5871310100207188,3.0,1.0,2.0,1.0,1.0001069504421247,1.2681107593694065,1.0077353696566527,1.000018408763274
6044,14.131694240819195,2.586808605980471,3.0,1.0,2.0,1.0,1.0000973751265774,1.2681107593694065,1.0074032443517102,1.000017720374161
6045,14.131782824399295,2.586808605980471,3.0,1.0,2.0,1.0,1.0000651291216387,1.2681107593694065,1.006356188257752,1.0000154521942863
6046,14.131871406313596,2.586808605980471,3.0,1.0,2.0,1.0,1.0001051217180417,1.2681107593694065,1.0076489487032039,1.0000178909320778
6047,14.13195998656217,2.586808605980471,3.0,1.0,2.0,1.0,1.0000978643069343,1.2681107593694065,1.0074196427391422,1.0000179703531156
6048,14.132048565145093,2.586808605980471,3.0,1.0,2.0,1.0,1.0001237897868533,1.2681107593694065,1.0082560910251583,1.0000198783909302
6049,14.132137142062435,2.5863244718998604,3.0,14.0,8.0,1.0,1.0000448899529206,1.2681107593694065,1.0057880840547389,1.00001468626494
6050,14.13222571731427,2.586808605980471,3.0,1.0,2.0,1.0442737824274138,1.0001401722625778,1.2681107593694065,1.0087974053330557,1.0000212249759368
6051,14.132314290900673,2.586808605980471,3.0,1.0,1.0,1.0442737824274138,1.000013370833512,1.2681107593694065,1.0047117739668254,1.0000122882739286
6052,14.132402862821715,2.586808605980471,3.0,1.0,1.0,1.0442737824274138,1.0000409113792261,1.2681107593694065,1.005596409150018,1.0000144273929654
6053,14.132491433077469,2.586808605980471,3.0,1.0,1.0,1.0442737824274138,1.000111866661154,1.2681107593694065,1.007934136330173,1.00001874813317
6054,14.132580001668009,2.586808605980471,3.0,18.0,7.0,1.0,1.0000699632840617,1.2681107593694065,1.0065846609543965,1.0000161722137042
